condLoaderLoop.thisRepN,condLoaderLoop.thisTrialN,condLoaderLoop.thisN,condLoaderLoop.thisIndex,Block1Loop.thisRepN,Block1Loop.thisTrialN,Block1Loop.thisN,Block1Loop.thisIndex,encodeLoop_Block1Run1.thisRepN,encodeLoop_Block1Run1.thisTrialN,encodeLoop_Block1Run1.thisN,encodeLoop_Block1Run1.thisIndex,recognitionLoop_Block1Run1.thisRepN,recognitionLoop_Block1Run1.thisTrialN,recognitionLoop_Block1Run1.thisN,recognitionLoop_Block1Run1.thisIndex,triggerSyncText.started,triggerSync_Key_Resp.started,triggerSync_Key_Resp.keys,triggerSync_Key_Resp.rt,start_time,start_volume,InstructionText.started,trigger_time,end_volume,image_file,run,encodeTrialRun1_Image.started,encodeTrialTestKeyRespRun1.started,encodeFixationText_Run1.started,encodeTrialRun1_Image.stopped,encodeTrialTestKeyRespRun1.stopped,encodeFixationText_Run1.stopped,end_time,image_water,response_water,liquid_is_correct,encodeTrialTestKeyRespRun1.keys,InstructionText.stopped,recogTrialRun1_Image.started,recogTrialTestKeyRespRun1.started,recogTrialRun1_Image.stopped,recogFixationText_Run1.started,recogTrialTestKeyRespRun1.stopped,recogFixationText_Run1.stopped,image_old_new,response_old_new,is_correct,recogTrialTestKeyRespRun1.keys,participant,session,date,expName,psychopyVersion,frameRate,
,,,,0,0,0,0,11,0,11,0,,,,,,,,,,2,,,,Block1_run1_scene_encoding-TEST/yf9_mtns17_OLD.bmp,1,48.79494337501819,48.79494337501819,49.79513087499072,49.79513087499072,50.795844542008126,51.795029625005554,45.99414437499945,no_liquid,none,NO RESPONSE,None,,,,,,,,,,,,225099,001,2023-07-13_11h04.30.762,PsychoPy-Practice-Task,2022.2.5,59.7204337148668,
,,,,0,0,0,0,,,,,0,0,0,0,,,,,45.9945970409899,2,51.795029625005554,,,Block1_run1_scene_recog-TEST/yf9_street11_OLD.bmp,1,,,,,,,58.99366533299326,,,,,61.79610525001772,61.79610525001772,61.79610525001772,62.795048875006614,62.795048875006614,63.79562887499924,64.79549737501657,OLD,NONE,NO RESPONSE,None,225099,001,2023-07-13_11h04.30.762,PsychoPy-Practice-Task,2022.2.5,59.7204337148668,
,,,,0,0,0,0,,,,,1,0,1,0,,,,,,2,,,,Block1_run1_scene_recog-TEST/yf9_mtns18_NEW.bmp,1,,,,,,,61.993609208002454,,,,,,64.79549737501657,64.79549737501657,65.79512529200292,65.79512529200292,66.79563708300702,67.79485883301822,NEW,NONE,NO RESPONSE,None,225099,001,2023-07-13_11h04.30.762,PsychoPy-Practice-Task,2022.2.5,59.7204337148668,
,,,,0,0,0,0,,,,,2,0,2,0,,,,,,2,,,,Block1_run1_scene_recog-TEST/yf9_w_citybeach12_NEW.bmp,1,,,,,,,64.99341850000201,,,,,,67.79485883301822,67.79485883301822,68.79511329199886,68.79511329199886,69.79521945799934,70.79500924999593,NEW,NONE,NO RESPONSE,None,225099,001,2023-07-13_11h04.30.762,PsychoPy-Practice-Task,2022.2.5,59.7204337148668,
,,,,0,0,0,0,,,,,3,0,3,0,,,,,,2,,,,Block1_run1_scene_recog-TEST/yf9_street13_NEW.bmp,1,,,,,,,67.99378358299145,,,,,,70.79500924999593,70.79500924999593,71.79511858301703,71.79511858301703,72.79571220799698,73.79522187501425,NEW,NONE,NO RESPONSE,None,225099,001,2023-07-13_11h04.30.762,PsychoPy-Practice-Task,2022.2.5,59.7204337148668,
,,,,0,0,0,0,,,,,4,0,4,0,,,,,,2,,,,Block1_run1_scene_recog-TEST/yf9_w_hills14_NEW.bmp,1,,,,,,,70.99359170801472,,,,,,73.79522187501425,73.79522187501425,74.79494595801225,74.79494595801225,75.795954583009,76.7955160420097,NEW,NONE,NO RESPONSE,None,225099,001,2023-07-13_11h04.30.762,PsychoPy-Practice-Task,2022.2.5,59.7204337148668,
,,,,0,0,0,0,,,,,5,0,5,0,,,,,,2,,,,Block1_run1_scene_recog-TEST/yf9_pizzodisevo_hills19_OLD.bmp,1,,,,,,,73.99337487498997,,,,,,76.7955160420097,76.7955160420097,77.79454358300427,77.79454358300427,78.79601216700394,79.79525983301573,OLD,NONE,NO RESPONSE,None,225099,001,2023-07-13_11h04.30.762,PsychoPy-Practice-Task,2022.2.5,59.7204337148668,
,,,,0,0,0,0,,,,,6,0,6,0,,,,,,2,,,,Block1_run1_scene_recog-TEST/yf9_mtns16_NEW.bmp,1,,,,,,,76.99344795799698,,,,,,79.79525983301573,79.79525983301573,80.79484458299703,80.79484458299703,81.79574150001281,82.79472437500954,NEW,NONE,NO RESPONSE,None,225099,001,2023-07-13_11h04.30.762,PsychoPy-Practice-Task,2022.2.5,59.7204337148668,
,,,,0,0,0,0,,,,,7,0,7,0,,,,,,2,,,,Block1_run1_scene_recog-TEST/yf9_ralphunden_hills24_OLD.bmp,1,,,,,,,79.99332762500853,,,,,,82.79472437500954,82.79472437500954,83.79493429200375,83.79493429200375,84.79582708299858,85.79485441700672,OLD,NONE,NO RESPONSE,None,225099,001,2023-07-13_11h04.30.762,PsychoPy-Practice-Task,2022.2.5,59.7204337148668,
,,,,0,0,0,0,,,,,8,0,8,0,,,,,,2,,,,Block1_run1_scene_recog-TEST/yf9_mtns17_OLD.bmp,1,,,,,,,82.99383929101168,,,,,,85.79485441700672,85.79485441700672,86.79484795799362,86.79484795799362,87.79575095800101,88.7953661250067,OLD,NONE,NO RESPONSE,None,225099,001,2023-07-13_11h04.30.762,PsychoPy-Practice-Task,2022.2.5,59.7204337148668,
,,,,0,0,0,0,,,,,9,0,9,0,,,,,,2,,,,Block1_run1_scene_recog-TEST/yf9_w_beach4_NEW.bmp,1,,,,,,,85.99354154101457,,,,,,88.7953661250067,88.7953661250067,89.79483904200606,89.79483904200606,90.79553058301099,91.79502258301363,NEW,NONE,NO RESPONSE,None,225099,001,2023-07-13_11h04.30.762,PsychoPy-Practice-Task,2022.2.5,59.7204337148668,
,,,,0,0,0,0,,,,,10,0,10,0,,,,,,2,,,,Block1_run1_scene_recog-TEST/yf9_sunset6_OLD.bmp,1,,,,,,,88.99331495800288,,,,,,91.79502258301363,91.79502258301363,92.79479345801519,92.79479345801519,93.79521016700892,94.79546950000804,OLD,NONE,NO RESPONSE,None,225099,001,2023-07-13_11h04.30.762,PsychoPy-Practice-Task,2022.2.5,59.7204337148668,
,,,,0,0,0,0,,,,,11,0,11,0,,,,,,2,,,,Block1_run1_scene_recog-TEST/yf9_street12_OLD.bmp,1,,,,,,,91.99319624999771,,,,,,94.79546950000804,94.79546950000804,95.79487162499572,95.79487162499572,96.79580720799277,97.7957460420148,OLD,NONE,NO RESPONSE,None,225099,001,2023-07-13_11h04.30.762,PsychoPy-Practice-Task,2022.2.5,59.7204337148668,
,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,225099,001,2023-07-13_11h04.30.762,PsychoPy-Practice-Task,2022.2.5,59.7204337148668,
